Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure,Y
55.15,78.09,74.5,73.34,0.67,0.54,0.4,0.4,0.4,0.39,1.38,4
55.04,72.58,73.33,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.39,4
55.26,78.17,74.71,73.23,0.8,0.64,0.4,0.4,0.4,0.53,1.38,4
54.93,78.11,74.82,73.44,0.78,0.62,0.4,0.4,0.4,0.43,1.41,4
55.15,71.97,73.01,73.23,0.75,0.6,0.4,0.4,0.4,0.46,1.38,4
54.93,79.92,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.47,1.4,4
55.04,77.75,74.6,73.65,0.67,0.54,0.4,0.4,0.4,0.38,1.37,4
55.26,71.13,72.59,73.23,0.75,0.6,0.4,0.4,0.4,0.43,1.39,4
54.72,84.98,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.44,4
55.36,77.66,74.71,73.13,0.8,0.64,0.4,0.4,0.4,0.55,1.38,4
55.15,81.31,74.5,72.29,0.75,0.6,0.4,0.4,0.4,0.51,1.37,4
54.93,66.88,72.16,74.18,0.69,0.55,0.4,0.4,0.4,0.25,1.39,4
54.18,64.03,64.53,74.07,0.68,0.54,1,1,1,0.28,1.39,4
54.83,76.65,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.25,1.43,4
52.24,74.56,72.16,70.6,0.69,0.56,0.4,0.4,0.4,0.39,1.5,4
54.83,77.65,74.5,72.92,0.8,0.64,0.4,0.4,0.4,0.55,1.39,4
55.26,77.21,74.18,74.92,0.62,0.49,0.4,0.4,0.4,0.28,1.33,4
54.5,76.83,70.79,69.87,0.61,0.49,0.4,0.4,0.4,0.17,1.41,4
54.83,79.57,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.4,4
56.33,64.89,65.37,74.49,0.69,0.55,0.4,0.4,0.4,0.29,1.4,4
54.93,79.85,74.5,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.39,4
71.29,59.6,71.85,73.13,0.2,0.16,0,0,0,0,0.04,4
55.04,85.82,75.56,72.6,0.78,0.62,0.4,0.4,0.4,0.61,1.38,4
58.05,75.55,73.65,72.29,0.68,0.55,0.4,0.4,0.4,0.5,1.41,4
55.15,80.6,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.47,1.41,4
55.26,80.58,74.29,72.5,0.71,0.57,0.4,0.4,0.4,0.46,1.38,4
55.26,76.66,74.18,72.92,0.77,0.61,0.4,0.4,0.4,0.53,1.37,4
55.15,84.43,73.97,71.45,0.68,0.55,0.4,0.4,0.4,0.41,1.37,4
54.72,60.12,61.77,69.03,0.63,0.51,1,1,1,0.24,1.37,4
54.5,82.76,75.24,72.5,0.76,0.61,0.4,0.4,0.4,0.5,1.44,4
55.04,85.28,75.24,72.18,0.78,0.62,0.4,0.4,0.4,0.61,1.39,4
55.15,69.53,72.48,73.55,0.73,0.58,0.4,0.4,0.4,0.37,1.37,4
55.04,78.37,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.36,4
67.1,59.3,68.03,72.18,0.6,0.48,0.83,0.83,0.83,0,0.93,4
55.15,85.35,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.59,1.38,4
55.26,78.18,74.71,73.44,0.75,0.6,0.4,0.4,0.4,0.37,1.38,4
55.04,65.24,71.95,74.49,0.69,0.55,0.4,0.4,0.4,0.33,1.43,4
54.61,77.86,74.39,73.13,0.78,0.62,0.4,0.4,0.4,0.52,1.4,4
54.93,85.69,75.67,72.71,0.78,0.62,0.4,0.4,0.4,0.62,1.4,4
55.15,72.96,73.33,73.23,0.76,0.61,0.4,0.4,0.4,0.49,1.38,4
55.26,85.35,75.35,72.29,0.78,0.62,0.4,0.4,0.4,0.6,1.39,4
56.22,59.16,63.04,71.24,0.65,0.52,1,1,1,0.35,1.41,4
55.9,77.14,73.76,74.6,0.61,0.49,0.4,0.4,0.4,0.27,1.36,4
55.04,78.37,73.97,72.71,0.69,0.56,0.4,0.4,0.4,0.42,1.36,4
54.93,67.16,72.27,74.18,0.69,0.55,0.4,0.4,0.4,0.26,1.36,4
54.72,60.56,61.87,68.92,0.65,0.52,1,1,1,0.23,1.37,4
55.15,76.88,70.79,69.97,0.61,0.49,0.4,0.4,0.4,0.19,1.43,4
54.93,80.26,74.18,72.29,0.73,0.58,0.4,0.4,0.4,0.47,1.38,4
55.15,83.88,75.35,72.6,0.76,0.61,0.4,0.4,0.4,0.54,1.36,4
53.75,59.45,61.45,69.34,0.62,0.5,1,1,1,0.14,1.41,4
55.79,75.89,71.21,70.6,0.61,0.49,0.4,0.4,0.4,0.22,1.43,4
54.29,76.03,71.21,70.39,0.61,0.49,0.4,0.4,0.4,0.2,1.44,4
54.93,79.57,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.38,4
55.36,76.41,74.07,73.02,0.76,0.61,0.4,0.4,0.4,0.48,1.39,4
54.93,78.28,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.37,4
52.24,75.72,71.1,69.87,0.64,0.51,0.4,0.4,0.4,0.21,1.49,4
54.39,83.93,75.14,72.39,0.76,0.61,0.4,0.4,0.4,0.49,1.42,4
55.58,85.37,75.67,73.02,0.77,0.62,0.4,0.4,0.4,0.55,1.35,4
55.15,86.1,75.77,72.81,0.79,0.63,0.4,0.4,0.4,0.62,1.38,4
55.47,77.75,74.39,73.23,0.77,0.62,0.4,0.4,0.4,0.51,1.38,4
55.04,85.35,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.59,1.36,4
55.26,77.66,74.92,74.18,0.65,0.52,0.4,0.4,0.4,0.35,1.36,4
54.61,79.23,74.5,73.02,0.77,0.62,0.4,0.4,0.4,0.44,1.37,4
55.47,76.44,71,70.18,0.61,0.49,0.4,0.4,0.4,0.24,1.43,4
55.9,78.27,74.5,73.13,0.76,0.61,0.4,0.4,0.4,0.43,1.35,4
54.83,78.37,74.6,73.13,0.77,0.62,0.4,0.4,0.4,0.5,1.4,4
55.15,85.15,75.35,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.42,4
55.58,85.46,75.77,73.02,0.77,0.62,0.4,0.4,0.4,0.56,1.37,4
55.26,80.6,74.29,72.6,0.72,0.57,0.4,0.4,0.4,0.46,1.35,4
55.15,58.83,61.45,69.55,0.62,0.5,1,1,1,0.27,1.43,4
55.15,74.77,72.48,71.24,0.69,0.55,0.4,0.4,0.4,0.24,1.41,4
56.33,63.57,64.21,73.97,0.67,0.54,1,1,1,0.3,1.37,4
55.26,76.57,74.07,72.81,0.77,0.62,0.4,0.4,0.4,0.63,1.38,4
55.04,71.79,72.8,73.23,0.74,0.59,0.4,0.4,0.4,0.41,1.39,4
55.04,70.01,72.59,73.34,0.74,0.59,0.4,0.4,0.4,0.39,1.37,4
55.58,68.39,72.38,73.97,0.71,0.56,0.4,0.4,0.4,0.31,1.37,4
54.83,77.52,74.18,73.02,0.75,0.6,0.4,0.4,0.4,0.35,1.38,4
55.15,80.6,74.18,72.5,0.72,0.57,0.4,0.4,0.4,0.45,1.38,4
55.58,77.14,73.12,74.18,0.61,0.49,0.4,0.4,0.4,0.25,1.33,4
54.18,64.03,64.63,74.18,0.68,0.54,1,1,1,0.25,1.41,4
55.36,61.36,62.4,68.82,0.66,0.53,1,1,1,0.22,1.41,4
55.04,80.73,74.29,72.29,0.74,0.59,0.4,0.4,0.4,0.49,1.37,4
55.04,84.61,75.24,72.18,0.78,0.62,0.4,0.4,0.4,0.61,1.37,4
54.93,78.11,74.6,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.38,4
55.36,58.45,61.77,69.76,0.62,0.5,1,1,1,0.19,1.36,4
55.26,75.85,71.1,70.5,0.62,0.49,0.4,0.4,0.4,0.17,1.41,4
55.69,61.7,62.93,68.82,0.65,0.52,1,1,1,0.29,1.4,4
55.15,61.28,62.4,68.82,0.66,0.53,1,1,1,0.21,1.39,4
55.47,78.34,74.71,73.23,0.79,0.63,0.4,0.4,0.4,0.5,1.39,4
55.04,76.88,70.57,69.87,0.61,0.49,0.4,0.4,0.4,0.18,1.43,4
55.15,71.59,73.01,73.34,0.75,0.6,0.4,0.4,0.4,0.44,1.4,4
54.5,76.71,70.79,69.97,0.61,0.49,0.4,0.4,0.4,0.22,1.41,4
54.93,85.48,75.77,72.5,0.79,0.63,0.4,0.4,0.4,0.65,1.41,4
55.15,71.13,72.7,73.13,0.75,0.6,0.4,0.4,0.4,0.43,1.38,4
55.15,78.09,74.5,73.34,0.67,0.54,0.4,0.4,0.4,0.39,1.4,4
54.5,76.71,70.89,69.97,0.61,0.49,0.4,0.4,0.4,0.22,1.4,4
55.04,84.42,74.07,71.24,0.69,0.55,0.4,0.4,0.4,0.42,1.37,4
54.18,76.07,73.97,72.71,0.75,0.6,0.4,0.4,0.4,0.38,1.45,4
55.26,74.28,73.44,72.6,0.77,0.62,0.4,0.4,0.4,0.6,1.39,4
54.83,61.93,62.93,68.82,0.65,0.52,1,1,1,0.28,1.37,4
54.61,85.4,75.35,72.39,0.77,0.62,0.4,0.4,0.4,0.59,1.41,4
55.15,78.35,73.97,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.41,4
55.47,78.34,74.82,73.34,0.79,0.63,0.4,0.4,0.4,0.5,1.38,4
55.36,58.83,61.45,69.55,0.62,0.5,1,1,1,0.27,1.43,4
55.69,75.97,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.26,1.42,4
55.15,76.18,71,70.39,0.61,0.49,0.4,0.4,0.4,0.18,1.41,4
55.04,80.73,74.18,72.18,0.73,0.59,0.4,0.4,0.4,0.49,1.36,4
55.47,85.3,75.67,72.92,0.77,0.61,0.4,0.4,0.4,0.51,1.37,4
54.93,84.41,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.41,4
51.81,75.72,71.21,69.76,0.64,0.51,0.4,0.4,0.4,0.23,1.56,4
54.93,74.24,72.7,71.55,0.69,0.55,0.4,0.4,0.4,0.24,1.43,4
55.04,77.75,74.6,73.76,0.67,0.54,0.4,0.4,0.4,0.38,1.36,4
55.47,86.1,75.77,72.81,0.79,0.63,0.4,0.4,0.4,0.63,1.38,4
55.04,75.29,73.01,72.08,0.69,0.55,0.4,0.4,0.4,0.36,1.42,4
55.15,81.5,74.5,72.39,0.74,0.59,0.4,0.4,0.4,0.5,1.39,4
55.15,85.19,75.24,72.29,0.77,0.62,0.4,0.4,0.4,0.58,1.41,4
55.04,85.12,75.35,72.29,0.78,0.63,0.4,0.4,0.4,0.61,1.44,4
55.36,76.3,74.07,73.13,0.74,0.59,0.4,0.4,0.4,0.42,1.35,4
54.72,77.86,74.5,73.02,0.78,0.62,0.4,0.4,0.4,0.52,1.42,4
54.61,79.23,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.37,4
54.93,79.53,74.5,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.4,4
54.93,78.11,74.82,73.34,0.78,0.62,0.4,0.4,0.4,0.43,1.38,4
55.79,58.64,61.45,69.55,0.62,0.5,1,1,1,0.26,1.34,4
54.5,76.11,71.32,70.5,0.61,0.49,0.4,0.4,0.4,0.24,1.33,4
54.83,60.12,61.66,69.13,0.63,0.5,1,1,1,0.25,1.35,4
55.15,76.41,74.29,73.23,0.76,0.61,0.4,0.4,0.4,0.48,1.39,4
55.04,74.72,72.38,71.34,0.68,0.55,0.4,0.4,0.4,0.25,1.4,4
55.15,86.02,75.88,72.81,0.79,0.63,0.4,0.4,0.4,0.65,1.38,4
55.15,78.37,73.97,72.6,0.69,0.55,0.4,0.4,0.4,0.42,1.4,4
55.04,80.47,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.46,1.41,4
53.1,58.89,62.51,70.18,0.63,0.5,1,1,1,0.22,1.47,4
54.5,76.71,70.68,69.97,0.61,0.49,0.4,0.4,0.4,0.21,1.35,4
54.83,83.02,74.92,72.29,0.76,0.61,0.4,0.4,0.4,0.53,1.41,4
54.83,77.86,74.71,73.44,0.78,0.62,0.4,0.4,0.4,0.51,1.43,4
55.58,85.34,75.77,73.02,0.78,0.62,0.4,0.4,0.4,0.59,1.39,4
54.93,84.52,74.92,72.29,0.76,0.61,0.4,0.4,0.4,0.53,1.4,4
55.04,86.02,75.88,72.81,0.79,0.63,0.4,0.4,0.4,0.66,1.36,4
54.83,83.02,74.92,72.18,0.76,0.61,0.4,0.4,0.4,0.53,1.39,4
55.04,72.63,73.01,73.23,0.75,0.6,0.4,0.4,0.4,0.47,1.38,4
55.47,77.51,75.24,74.92,0.64,0.51,0.4,0.4,0.4,0.34,1.4,4
55.15,85.82,75.45,72.39,0.78,0.63,0.4,0.4,0.4,0.61,1.41,4
55.26,74.28,73.23,72.29,0.78,0.62,0.4,0.4,0.4,0.6,1.37,4
54.5,76.03,71.1,70.29,0.61,0.49,0.4,0.4,0.4,0.17,1.35,4
55.36,76.34,71.1,70.29,0.61,0.49,0.4,0.4,0.4,0.2,1.36,4
55.04,75.79,71.1,70.5,0.62,0.49,0.4,0.4,0.4,0.16,1.4,4
54.5,84.95,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.56,1.43,4
55.15,86.03,75.88,72.71,0.79,0.64,0.4,0.4,0.4,0.66,1.37,4
54.93,84.77,75.24,72.29,0.77,0.62,0.4,0.4,0.4,0.61,1.43,4
55.15,76.88,70.57,69.76,0.61,0.49,0.4,0.4,0.4,0.19,1.4,4
55.69,83.48,73.76,71.55,0.68,0.54,0.4,0.4,0.4,0.34,1.36,4
55.04,86.34,75.45,72.29,0.79,0.63,0.4,0.4,0.4,0.64,1.43,4
55.15,86.03,75.77,72.81,0.79,0.63,0.4,0.4,0.4,0.66,1.37,4
55.04,78.14,74.39,72.92,0.68,0.55,0.4,0.4,0.4,0.41,1.35,4
55.26,81.5,74.5,72.39,0.74,0.59,0.4,0.4,0.4,0.5,1.35,4
56.01,61.7,62.72,68.92,0.65,0.52,1,1,1,0.28,1.43,4
54.93,85.07,75.35,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.41,4
55.58,69.31,72.59,73.86,0.71,0.57,0.4,0.4,0.4,0.35,1.38,4
55.15,84.41,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.37,4
54.93,83.2,74.07,71.13,0.75,0.6,0.4,0.4,0.4,0.53,1.42,4
55.26,80.58,74.07,72.39,0.71,0.57,0.4,0.4,0.4,0.45,1.38,4
54.93,61.21,61.98,68.92,0.66,0.52,1,1,1,0.22,1.33,4
54.83,60.12,61.66,69.13,0.63,0.5,1,1,1,0.25,1.33,4
53.43,82.77,73.12,71.02,0.68,0.54,0.4,0.4,0.4,0.3,1.44,4
55.15,70.23,72.48,73.34,0.73,0.59,0.4,0.4,0.4,0.38,1.38,4
55.15,84.43,73.97,71.45,0.68,0.55,0.4,0.4,0.4,0.4,1.39,4
55.15,75.97,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.26,1.43,4
55.04,72.58,73.23,73.34,0.76,0.61,0.4,0.4,0.4,0.5,1.38,4
54.72,84.98,75.35,72.29,0.78,0.63,0.4,0.4,0.4,0.62,1.44,4
55.26,69.58,72.7,73.86,0.73,0.58,0.4,0.4,0.4,0.37,1.36,4
54.5,83.93,75.14,72.39,0.76,0.61,0.4,0.4,0.4,0.49,1.43,4
55.04,85.07,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.4,4
55.04,86.34,75.56,72.5,0.79,0.63,0.4,0.4,0.4,0.64,1.37,4
55.04,78.23,74.07,72.71,0.69,0.55,0.4,0.4,0.4,0.42,1.41,4
55.26,84.17,75.56,72.92,0.76,0.61,0.4,0.4,0.4,0.48,1.4,4
55.04,85.32,75.88,72.92,0.79,0.63,0.4,0.4,0.4,0.64,1.37,4
55.15,81.24,74.6,72.6,0.74,0.59,0.4,0.4,0.4,0.49,1.37,4
55.36,73.04,73.44,73.34,0.76,0.61,0.4,0.4,0.4,0.55,1.38,4
54.83,84.32,75.35,72.71,0.76,0.61,0.4,0.4,0.4,0.47,1.39,4
55.04,85.07,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.42,4
55.04,83.79,75.45,72.71,0.76,0.61,0.4,0.4,0.4,0.47,1.38,4
55.69,83.48,73.76,71.55,0.68,0.54,0.4,0.4,0.4,0.38,1.37,4
55.26,81.31,74.39,72.39,0.75,0.6,0.4,0.4,0.4,0.51,1.37,4
55.04,83.88,75.24,72.39,0.76,0.61,0.4,0.4,0.4,0.54,1.42,4
54.93,85.98,75.56,72.5,0.78,0.62,0.4,0.4,0.4,0.61,1.41,4
55.15,77.54,74.5,73.34,0.77,0.62,0.4,0.4,0.4,0.43,1.41,4
54.29,76.03,71.21,70.39,0.61,0.49,0.4,0.4,0.4,0.2,1.42,4
54.29,75.79,71,70.29,0.62,0.5,0.4,0.4,0.4,0.16,1.38,4
54.93,85.96,75.67,72.6,0.79,0.64,0.4,0.4,0.4,0.66,1.42,4
54.83,84.77,75.24,72.29,0.77,0.62,0.4,0.4,0.4,0.61,1.42,4
55.36,77.47,75.14,74.7,0.63,0.5,0.4,0.4,0.4,0.33,1.33,4
55.15,71.13,72.91,73.34,0.75,0.6,0.4,0.4,0.4,0.43,1.37,4
55.04,78.6,74.29,72.81,0.7,0.56,0.4,0.4,0.4,0.43,1.4,4
54.93,85.87,75.67,72.6,0.78,0.62,0.4,0.4,0.4,0.62,1.4,4
55.36,85.86,75.56,72.81,0.74,0.59,0.4,0.4,0.4,0.52,1.34,4
55.15,84.42,74.07,71.34,0.68,0.55,0.4,0.4,0.4,0.41,1.34,4
55.26,78.46,74.71,73.23,0.78,0.63,0.4,0.4,0.4,0.44,1.38,4
55.69,84.73,75.14,72.92,0.71,0.56,0.4,0.4,0.4,0.45,1.35,4
55.36,73.04,73.33,73.34,0.77,0.61,0.4,0.4,0.4,0.54,1.38,4
54.72,76.57,74.18,72.81,0.77,0.62,0.4,0.4,0.4,0.63,1.38,4
54.83,64.47,64.84,74.39,0.68,0.55,1,1,1,0.2,1.4,4
55.04,85.12,75.24,72.18,0.78,0.63,0.4,0.4,0.4,0.61,1.42,4
55.04,78.23,74.07,72.6,0.69,0.55,0.4,0.4,0.4,0.42,1.37,4
55.36,68.65,72.38,73.86,0.71,0.57,0.4,0.4,0.4,0.31,1.39,4
54.93,84.32,75.35,72.71,0.76,0.61,0.4,0.4,0.4,0.47,1.39,4
55.79,75.85,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.21,1.44,4
55.15,79.83,74.29,72.5,0.72,0.58,0.4,0.4,0.4,0.47,1.38,4
54.39,78.37,74.5,73.13,0.78,0.62,0.4,0.4,0.4,0.49,1.4,4
55.04,85.63,75.67,72.6,0.79,0.64,0.4,0.4,0.4,0.66,1.39,4
55.36,74.24,72.38,71.34,0.69,0.55,0.4,0.4,0.4,0.24,1.39,4
55.26,78.23,74.07,72.6,0.69,0.56,0.4,0.4,0.4,0.42,1.38,4
53.43,58.89,62.51,70.18,0.63,0.5,1,1,1,0.19,1.47,4
54.93,80.66,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.4,4
66.99,75.42,73.23,74.49,0.42,0.34,0.14,0.14,0.14,0,0.23,4
55.04,83.79,75.45,72.71,0.76,0.61,0.4,0.4,0.4,0.47,1.4,4
55.69,58.45,61.56,69.66,0.62,0.5,1,1,1,0.22,1.41,4
55.58,79.5,74.5,73.02,0.77,0.61,0.4,0.4,0.4,0.48,1.38,4
54.5,84.52,75.14,72.08,0.78,0.62,0.4,0.4,0.4,0.6,1.45,4
55.26,76.18,71.1,70.29,0.61,0.49,0.4,0.4,0.4,0.18,1.35,4
55.79,58.64,61.45,69.55,0.62,0.5,1,1,1,0.26,1.34,4
55.15,85.12,75.45,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.38,4
55.36,76.22,74.07,73.02,0.77,0.61,0.4,0.4,0.4,0.51,1.36,4
55.79,75.89,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.23,1.44,4
53.86,76.07,73.76,72.6,0.75,0.6,0.4,0.4,0.4,0.4,1.45,4
55.36,76.65,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.26,1.42,4
55.04,78.69,74.5,73.13,0.78,0.62,0.4,0.4,0.4,0.53,1.41,4
55.04,76.25,73.97,73.13,0.73,0.58,0.4,0.4,0.4,0.39,1.35,4
55.15,81.5,74.5,72.5,0.74,0.59,0.4,0.4,0.4,0.5,1.35,4
55.26,73.12,73.44,73.23,0.77,0.62,0.4,0.4,0.4,0.57,1.36,4
54.61,83.2,73.65,70.71,0.74,0.6,0.4,0.4,0.4,0.51,1.46,4
55.04,83.79,75.35,72.81,0.76,0.61,0.4,0.4,0.4,0.48,1.37,4
55.15,79.58,74.07,72.5,0.71,0.57,0.4,0.4,0.4,0.44,1.37,4
55.15,70.23,72.48,73.34,0.73,0.59,0.4,0.4,0.4,0.39,1.37,4
55.26,86.1,75.77,72.81,0.79,0.63,0.4,0.4,0.4,0.63,1.4,4
55.36,78.21,74.6,73.13,0.77,0.62,0.4,0.4,0.4,0.48,1.38,4
55.36,84.66,75.45,72.6,0.75,0.6,0.4,0.4,0.4,0.53,1.35,4
55.04,78.23,74.07,72.6,0.69,0.55,0.4,0.4,0.4,0.41,1.38,4
55.79,77.14,73.33,74.39,0.61,0.49,0.4,0.4,0.4,0.25,1.44,4
53.75,75.64,72.27,70.39,0.68,0.54,0.4,0.4,0.4,0.44,1.43,4
69.25,75.42,74.07,73.44,0.67,0.53,0.4,0.4,0.4,0.24,1.12,4
55.36,76.37,74.18,73.02,0.76,0.61,0.4,0.4,0.4,0.47,1.39,4
55.26,81.15,74.5,72.39,0.74,0.59,0.4,0.4,0.4,0.51,1.37,4
55.15,74.72,72.48,71.34,0.69,0.55,0.4,0.4,0.4,0.25,1.4,4
55.47,77.43,74.29,72.92,0.77,0.61,0.4,0.4,0.4,0.56,1.38,4
66.99,59.44,72.59,72.81,0.42,0.33,0.36,0.36,0.36,0,0.3,4
55.04,69.58,72.48,73.65,0.73,0.58,0.4,0.4,0.4,0.37,1.37,4
55.04,77.66,74.71,73.13,0.8,0.64,0.4,0.4,0.4,0.55,1.39,4
54.61,76.71,70.79,70.08,0.61,0.49,0.4,0.4,0.4,0.24,1.4,4
55.15,71.36,72.91,73.23,0.75,0.6,0.4,0.4,0.4,0.45,1.41,4
55.15,67.82,72.38,74.07,0.7,0.56,0.4,0.4,0.4,0.28,1.36,4
55.04,85.63,75.56,72.5,0.8,0.64,0.4,0.4,0.4,0.67,1.41,4
55.47,76.41,73.97,73.13,0.76,0.61,0.4,0.4,0.4,0.47,1.36,4
