Supply Air Temperature,Outdoor Air Temperature,Mixed Air Temperature,Return Air Temperature,Supply Air Fan Speed Control Signal,Return Air Fan Speed Control Signal,Exhaust Air Damper Control Signal,Outdoor Air Damper Control Signal,Return Air Damper Control Signal,Cooling Coil Valve Control Signal,Supply Air Duct Static Pressure,Y
54.5,76.9,74.18,72.81,0.77,0.62,0.4,0.4,0.4,0.61,1.38,4
55.04,79.58,73.97,72.5,0.71,0.57,0.4,0.4,0.4,0.44,1.36,4
55.36,77.43,74.18,72.92,0.77,0.61,0.4,0.4,0.4,0.54,1.38,4
55.04,75.37,73.44,73.02,0.7,0.56,0.4,0.4,0.4,0.36,1.35,4
54.18,64.31,64.84,74.49,0.68,0.54,1,1,1,0.21,1.4,4
54.93,78.41,73.97,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
55.04,74.3,72.48,71.24,0.68,0.54,0.4,0.4,0.4,0.24,1.37,4
54.72,76.83,70.68,69.97,0.61,0.49,0.4,0.4,0.4,0.17,1.4,4
52.57,74.56,72.06,70.71,0.68,0.55,0.4,0.4,0.4,0.3,1.43,4
54.72,83.42,73.54,71.66,0.67,0.54,0.4,0.4,0.4,0.27,1.4,4
55.04,80.26,74.18,72.29,0.73,0.58,0.4,0.4,0.4,0.48,1.41,4
56.22,63.57,64.21,73.86,0.67,0.54,1,1,1,0.27,1.37,4
54.93,78.34,73.97,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.4,4
54.93,76.57,74.18,72.81,0.77,0.62,0.4,0.4,0.4,0.63,1.41,4
53.96,59.09,61.45,69.45,0.62,0.5,1,1,1,0.22,1.43,4
55.04,80.32,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.39,4
55.36,84.74,74.07,71.24,0.69,0.55,0.4,0.4,0.4,0.42,1.41,4
55.36,78.35,74.92,73.44,0.79,0.63,0.4,0.4,0.4,0.46,1.36,4
55.58,68.65,72.59,73.97,0.71,0.57,0.4,0.4,0.4,0.32,1.38,4
69.25,75.55,74.07,73.34,0.68,0.54,0.4,0.4,0.4,0.39,1.23,4
54.72,61.93,63.04,68.92,0.65,0.52,1,1,1,0.28,1.39,4
54.93,85.72,75.77,72.6,0.79,0.64,0.4,0.4,0.4,0.66,1.36,4
54.39,62.9,63.46,72.29,0.66,0.53,1,1,1,0.18,1.36,4
55.15,69.58,72.59,73.55,0.73,0.58,0.4,0.4,0.4,0.37,1.38,4
56.87,75.61,73.44,71.87,0.68,0.55,0.4,0.4,0.4,0.5,1.42,4
55.36,85.57,76.09,73.02,0.78,0.63,0.4,0.4,0.4,0.61,1.39,4
54.83,85.48,75.56,72.29,0.79,0.63,0.4,0.4,0.4,0.65,1.44,4
54.29,74.95,72.38,71.02,0.68,0.54,0.4,0.4,0.4,0.25,1.44,4
55.36,73.04,73.33,73.34,0.76,0.61,0.4,0.4,0.4,0.53,1.36,4
55.04,80.26,74.18,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.38,4
54.93,78.08,74.5,73.23,0.77,0.62,0.4,0.4,0.4,0.42,1.39,4
55.36,77.75,74.5,73.13,0.77,0.62,0.4,0.4,0.4,0.51,1.39,4
55.47,69.31,72.48,73.86,0.71,0.57,0.4,0.4,0.4,0.35,1.38,4
53.96,62.27,63.46,71.66,0.65,0.52,1,1,1,0.19,1.38,4
55.04,72.48,72.91,73.34,0.75,0.6,0.4,0.4,0.4,0.45,1.39,4
54.93,66.88,72.27,74.18,0.69,0.55,0.4,0.4,0.4,0.25,1.39,4
55.26,77.86,74.6,73.13,0.78,0.62,0.4,0.4,0.4,0.44,1.4,4
55.15,71.79,72.7,73.44,0.74,0.6,0.4,0.4,0.4,0.42,1.38,4
55.04,61.28,62.3,68.82,0.66,0.53,1,1,1,0.21,1.41,4
55.15,77.75,74.39,73.13,0.78,0.62,0.4,0.4,0.4,0.51,1.37,4
55.15,71.13,72.8,73.44,0.75,0.6,0.4,0.4,0.4,0.43,1.38,4
54.61,76.71,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.23,1.38,4
55.04,64.69,64.95,74.28,0.69,0.55,1,1,1,0.2,1.38,4
55.47,85.34,75.77,73.02,0.78,0.62,0.4,0.4,0.4,0.59,1.38,4
55.47,77.47,75.14,74.7,0.63,0.5,0.4,0.4,0.4,0.33,1.31,4
54.93,77.66,74.6,72.92,0.8,0.64,0.4,0.4,0.4,0.54,1.4,4
53.96,64.03,64.63,74.28,0.68,0.54,1,1,1,0.24,1.39,4
55.04,85.28,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.43,4
55.04,69.73,72.48,73.86,0.72,0.57,0.4,0.4,0.4,0.35,1.36,4
55.04,69.37,72.48,73.65,0.72,0.58,0.4,0.4,0.4,0.36,1.39,4
55.79,78.27,74.5,73.13,0.76,0.61,0.4,0.4,0.4,0.45,1.37,4
54.93,85.28,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.41,4
55.26,76.12,71.1,70.29,0.61,0.49,0.4,0.4,0.4,0.18,1.44,4
54.93,78.34,73.86,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
54.39,78.37,74.82,73.23,0.77,0.62,0.4,0.4,0.4,0.49,1.41,4
55.15,84.42,74.07,71.34,0.69,0.55,0.4,0.4,0.4,0.41,1.35,4
55.15,77.73,74.82,74.07,0.66,0.52,0.4,0.4,0.4,0.36,1.35,4
55.04,71.97,72.8,73.23,0.75,0.6,0.4,0.4,0.4,0.46,1.39,4
55.15,78.03,74.82,73.23,0.8,0.64,0.4,0.4,0.4,0.55,1.39,4
54.93,83.17,74.92,72.29,0.76,0.61,0.4,0.4,0.4,0.54,1.37,4
55.36,76.44,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.25,1.4,4
55.04,78.17,74.39,73.02,0.75,0.6,0.4,0.4,0.4,0.36,1.37,4
54.93,75.29,73.23,72.71,0.69,0.55,0.4,0.4,0.4,0.36,1.39,4
55.36,73.31,73.54,72.92,0.77,0.62,0.4,0.4,0.4,0.59,1.35,4
54.83,84.32,75.45,72.81,0.76,0.61,0.4,0.4,0.4,0.47,1.39,4
55.04,82.2,74.39,72.18,0.75,0.6,0.4,0.4,0.4,0.52,1.42,4
54.61,84.98,75.45,72.5,0.78,0.63,0.4,0.4,0.4,0.62,1.43,4
55.15,69.53,72.48,73.44,0.73,0.58,0.4,0.4,0.4,0.38,1.38,4
54.72,85.98,75.45,72.5,0.77,0.62,0.4,0.4,0.4,0.6,1.42,4
54.18,62.27,63.46,71.97,0.66,0.52,1,1,1,0.19,1.35,4
55.26,67.82,72.38,73.97,0.7,0.56,0.4,0.4,0.4,0.28,1.36,4
55.26,77.47,75.14,75.02,0.62,0.5,0.4,0.4,0.4,0.32,1.35,4
55.15,84.61,75.35,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.4,4
55.47,83.17,73.65,71.55,0.68,0.54,0.4,0.4,0.4,0.32,1.4,4
55.04,84.52,75.03,72.18,0.76,0.61,0.4,0.4,0.4,0.54,1.42,4
55.04,77.81,74.5,73.65,0.67,0.54,0.4,0.4,0.4,0.38,1.4,4
53.64,59.02,62.51,70.18,0.63,0.51,1,1,1,0.25,1.52,4
55.15,78.1,74.07,72.71,0.69,0.55,0.4,0.4,0.4,0.41,1.34,4
54.93,61.42,62.4,69.13,0.66,0.53,1,1,1,0.21,1.4,4
54.18,76.9,74.07,72.71,0.77,0.62,0.4,0.4,0.4,0.59,1.38,4
55.26,65,71.53,74.49,0.69,0.55,0.4,0.4,0.4,0.33,1.4,4
55.04,79.85,74.29,72.29,0.73,0.58,0.4,0.4,0.4,0.47,1.39,4
54.18,76.9,74.18,72.71,0.77,0.62,0.4,0.4,0.4,0.58,1.42,4
55.15,80.26,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.39,4
52.78,82.72,73.23,70.92,0.7,0.57,0.4,0.4,0.4,0.43,1.59,4
54.93,85.28,75.24,72.29,0.78,0.62,0.4,0.4,0.4,0.61,1.41,4
55.15,67.69,72.27,74.07,0.7,0.56,0.4,0.4,0.4,0.26,1.38,4
55.04,77.95,74.39,73.44,0.67,0.54,0.4,0.4,0.4,0.38,1.36,4
54.72,85.26,75.35,72.39,0.79,0.63,0.4,0.4,0.4,0.63,1.41,4
54.61,59.45,61.56,69.45,0.62,0.5,1,1,1,0.14,1.4,4
55.15,80.73,74.29,72.39,0.73,0.58,0.4,0.4,0.4,0.48,1.39,4
55.47,84.73,75.14,72.81,0.71,0.57,0.4,0.4,0.4,0.45,1.35,4
55.26,85.32,75.67,72.71,0.79,0.63,0.4,0.4,0.4,0.64,1.4,4
55.36,78.21,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.49,1.37,4
54.39,61.93,63.04,68.82,0.65,0.52,1,1,1,0.26,1.39,4
53.53,74.64,72.48,71.13,0.74,0.59,0.4,0.4,0.4,0.55,1.64,4
55.15,69.53,72.48,73.55,0.73,0.59,0.4,0.4,0.4,0.38,1.39,4
55.36,78.23,74.82,73.34,0.77,0.62,0.4,0.4,0.4,0.43,1.4,4
54.83,77.65,74.82,73.13,0.8,0.64,0.4,0.4,0.4,0.55,1.39,4
55.04,78.32,74.18,72.71,0.7,0.56,0.4,0.4,0.4,0.42,1.38,4
54.39,76.83,70.68,69.87,0.61,0.49,0.4,0.4,0.4,0.18,1.36,4
55.04,77.81,74.6,73.55,0.67,0.54,0.4,0.4,0.4,0.38,1.39,4
54.93,86.34,75.56,72.39,0.79,0.63,0.4,0.4,0.4,0.64,1.39,4
55.47,77.51,75.24,74.6,0.64,0.51,0.4,0.4,0.4,0.35,1.35,4
55.15,72.48,72.8,73.23,0.75,0.6,0.4,0.4,0.4,0.46,1.4,4
55.79,63.34,64.1,73.55,0.67,0.54,1,1,1,0.22,1.34,4
54.72,62.9,63.68,72.71,0.66,0.53,1,1,1,0.18,1.36,4
54.83,61.42,62.3,68.82,0.66,0.53,1,1,1,0.21,1.39,4
54.72,61.28,62.19,68.82,0.66,0.53,1,1,1,0.2,1.42,4
55.15,85.58,75.35,72.5,0.76,0.61,0.4,0.4,0.4,0.54,1.38,4
55.04,81.31,74.5,72.18,0.75,0.6,0.4,0.4,0.4,0.52,1.43,4
55.26,78.27,74.82,73.34,0.78,0.62,0.4,0.4,0.4,0.53,1.39,4
55.15,72.63,73.01,73.34,0.75,0.6,0.4,0.4,0.4,0.48,1.39,4
54.39,59.02,62.72,70.5,0.64,0.51,1,1,1,0.3,1.4,4
55.36,85.82,75.24,72.18,0.78,0.62,0.4,0.4,0.4,0.6,1.41,4
54.93,77.27,74.18,72.71,0.8,0.64,0.4,0.4,0.4,0.51,1.4,4
55.26,75.93,73.97,73.02,0.74,0.59,0.4,0.4,0.4,0.42,1.34,4
55.26,79.58,74.29,72.81,0.71,0.56,0.4,0.4,0.4,0.44,1.38,4
55.04,84.63,75.14,72.18,0.78,0.62,0.4,0.4,0.4,0.61,1.42,4
55.04,77.81,74.6,73.65,0.67,0.54,0.4,0.4,0.4,0.38,1.39,4
54.18,61.93,63.15,68.82,0.65,0.52,1,1,1,0.25,1.39,4
54.18,76.03,71.21,70.29,0.61,0.49,0.4,0.4,0.4,0.18,1.39,4
55.04,59.98,61.66,69.13,0.63,0.5,1,1,1,0.26,1.39,4
55.04,78.23,74.39,73.13,0.68,0.54,0.4,0.4,0.4,0.4,1.37,4
55.15,85.15,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.61,1.42,4
53.1,75.72,71.1,69.97,0.63,0.5,0.4,0.4,0.4,0.18,1.52,4
55.26,77.52,75.03,75.13,0.62,0.5,0.4,0.4,0.4,0.32,1.35,4
55.15,72.96,73.23,73.23,0.76,0.61,0.4,0.4,0.4,0.49,1.38,4
54.93,78.34,73.97,72.71,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
55.04,85.63,75.67,72.6,0.8,0.64,0.4,0.4,0.4,0.66,1.38,4
55.04,80.6,74.29,72.5,0.72,0.57,0.4,0.4,0.4,0.46,1.39,4
55.15,67.69,72.27,74.07,0.7,0.56,0.4,0.4,0.4,0.27,1.38,4
54.39,83.2,73.65,70.81,0.74,0.59,0.4,0.4,0.4,0.51,1.49,4
55.15,72.51,73.01,73.23,0.75,0.6,0.4,0.4,0.4,0.47,1.38,4
54.93,75.97,71.32,70.6,0.61,0.49,0.4,0.4,0.4,0.26,1.36,4
53.75,75.79,71,70.29,0.62,0.5,0.4,0.4,0.4,0.16,1.45,4
54.83,85.48,75.45,72.39,0.79,0.63,0.4,0.4,0.4,0.64,1.39,4
54.83,85.26,75.35,72.29,0.78,0.63,0.4,0.4,0.4,0.63,1.44,4
55.15,77.75,74.6,73.86,0.67,0.53,0.4,0.4,0.4,0.37,1.35,4
55.15,69.31,72.59,73.76,0.71,0.57,0.4,0.4,0.4,0.35,1.38,4
55.04,75.37,73.33,73.02,0.7,0.56,0.4,0.4,0.4,0.36,1.36,4
54.93,78.28,73.86,72.5,0.7,0.56,0.4,0.4,0.4,0.42,1.36,4
55.36,76.66,74.5,73.02,0.77,0.61,0.4,0.4,0.4,0.53,1.39,4
55.36,76.34,71,70.29,0.61,0.49,0.4,0.4,0.4,0.21,1.45,4
55.58,78.27,74.39,73.23,0.76,0.61,0.4,0.4,0.4,0.44,1.38,4
55.26,76.25,73.97,73.13,0.73,0.58,0.4,0.4,0.4,0.4,1.35,4
54.93,78.35,73.97,72.6,0.7,0.56,0.4,0.4,0.4,0.42,1.41,4
54.5,62.9,63.57,72.5,0.66,0.53,1,1,1,0.18,1.33,4
54.93,85.69,75.56,72.6,0.78,0.62,0.4,0.4,0.4,0.62,1.4,4
55.15,80.58,74.39,72.71,0.71,0.57,0.4,0.4,0.4,0.45,1.38,4
55.04,74.85,72.59,71.45,0.68,0.55,0.4,0.4,0.4,0.25,1.38,4
54.72,84.32,75.24,72.6,0.76,0.61,0.4,0.4,0.4,0.47,1.4,4
54.83,80.66,74.71,73.34,0.77,0.62,0.4,0.4,0.4,0.43,1.39,4
54.39,75.61,72.59,70.71,0.68,0.54,0.4,0.4,0.4,0.47,1.39,4
55.15,78.55,74.29,72.71,0.7,0.56,0.4,0.4,0.4,0.43,1.42,4
55.15,76.25,73.97,73.13,0.73,0.58,0.4,0.4,0.4,0.39,1.35,4
54.83,77.52,74.39,73.13,0.75,0.6,0.4,0.4,0.4,0.35,1.38,4
54.83,83.42,73.33,71.34,0.67,0.54,0.4,0.4,0.4,0.28,1.41,4
55.36,78.18,74.6,73.02,0.75,0.6,0.4,0.4,0.4,0.38,1.37,4
55.15,81.31,74.6,72.29,0.75,0.6,0.4,0.4,0.4,0.52,1.37,4
55.58,76.44,70.89,70.18,0.61,0.49,0.4,0.4,0.4,0.25,1.33,4
54.72,65.24,71.95,74.49,0.69,0.55,0.4,0.4,0.4,0.32,1.44,4
55.15,81.31,74.39,72.29,0.75,0.6,0.4,0.4,0.4,0.51,1.4,4
55.04,76.12,71.1,70.18,0.61,0.49,0.4,0.4,0.4,0.17,1.42,4
55.15,70.56,72.59,73.34,0.74,0.59,0.4,0.4,0.4,0.41,1.37,4
54.93,74.77,72.7,71.55,0.69,0.55,0.4,0.4,0.4,0.24,1.39,4
54.72,85.78,75.45,72.5,0.79,0.63,0.4,0.4,0.4,0.64,1.43,4
55.26,77.75,74.82,74.07,0.66,0.53,0.4,0.4,0.4,0.38,1.34,4
55.26,58.56,61.87,69.76,0.62,0.5,1,1,1,0.17,1.43,4
55.04,80.26,74.29,72.29,0.73,0.58,0.4,0.4,0.4,0.48,1.4,4
54.39,84.95,75.45,72.5,0.78,0.62,0.4,0.4,0.4,0.57,1.4,4
55.26,76.66,74.07,72.92,0.77,0.61,0.4,0.4,0.4,0.53,1.38,4
55.26,76.25,73.86,73.13,0.72,0.58,0.4,0.4,0.4,0.39,1.38,4
54.93,79.57,74.5,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.39,4
55.26,73.38,73.44,73.44,0.76,0.61,0.4,0.4,0.4,0.52,1.38,4
68.17,75.42,72.7,74.49,0.35,0.25,0.07,0.07,0.07,0,0.14,4
54.93,74.77,72.48,71.24,0.69,0.55,0.4,0.4,0.4,0.24,1.34,4
54.61,77.86,74.5,73.23,0.78,0.62,0.4,0.4,0.4,0.51,1.43,4
53.75,77.1,74.07,72.71,0.77,0.62,0.4,0.4,0.4,0.54,1.43,4
55.47,83.17,73.86,71.76,0.68,0.54,0.4,0.4,0.4,0.31,1.43,4
55.79,64.69,65.27,74.39,0.69,0.55,1,1,1,0.24,1.4,4
55.47,85.34,75.88,72.92,0.78,0.62,0.4,0.4,0.4,0.6,1.35,4
55.47,77.43,74.29,72.92,0.77,0.61,0.4,0.4,0.4,0.57,1.38,4
56.01,61.7,62.83,68.82,0.65,0.52,1,1,1,0.29,1.39,4
55.9,61.7,62.62,68.82,0.66,0.52,1,1,1,0.27,1.42,4
55.47,77.01,73.01,74.07,0.61,0.49,0.4,0.4,0.4,0.23,1.41,4
55.26,78.27,74.6,73.13,0.78,0.62,0.4,0.4,0.4,0.54,1.4,4
54.83,76.65,70.89,70.08,0.61,0.49,0.4,0.4,0.4,0.25,1.44,4
55.15,85.45,75.77,72.6,0.79,0.63,0.4,0.4,0.4,0.63,1.36,4
55.58,85.37,75.67,72.81,0.77,0.62,0.4,0.4,0.4,0.54,1.38,4
55.04,78.89,74.07,72.5,0.7,0.56,0.4,0.4,0.4,0.43,1.36,4
55.04,78.23,74.39,73.13,0.68,0.54,0.4,0.4,0.4,0.4,1.37,4
55.26,73.31,73.33,72.92,0.77,0.62,0.4,0.4,0.4,0.58,1.38,4
54.5,77.78,74.71,73.34,0.77,0.62,0.4,0.4,0.4,0.48,1.41,4
54.93,78.11,74.6,73.23,0.78,0.62,0.4,0.4,0.4,0.43,1.37,4
52.67,82.77,73.12,70.81,0.69,0.55,0.4,0.4,0.4,0.35,1.47,4
55.47,83.12,73.54,71.55,0.67,0.54,0.4,0.4,0.4,0.29,1.38,4
54.83,77.86,74.5,73.02,0.78,0.62,0.4,0.4,0.4,0.53,1.41,4
54.39,59.02,62.72,70.29,0.64,0.51,1,1,1,0.29,1.42,4
55.58,85.37,75.67,72.92,0.77,0.62,0.4,0.4,0.4,0.53,1.37,4
55.69,83.17,73.76,71.55,0.68,0.54,0.4,0.4,0.4,0.32,1.38,4
56.33,64.89,66.33,74.6,0.69,0.55,0.4,0.4,0.4,0.3,1.37,4
54.83,74.77,72.59,71.55,0.69,0.55,0.4,0.4,0.4,0.24,1.39,4
54.93,77.43,74.39,72.92,0.8,0.64,0.4,0.4,0.4,0.52,1.38,4
55.15,77.75,74.5,73.02,0.77,0.62,0.4,0.4,0.4,0.52,1.39,4
55.36,76.18,71,70.18,0.61,0.49,0.4,0.4,0.4,0.19,1.44,4
53.96,59.09,61.45,69.45,0.62,0.5,1,1,1,0.23,1.41,4
55.04,77.95,74.82,73.65,0.67,0.54,0.4,0.4,0.4,0.38,1.37,4
55.26,83.49,73.97,71.55,0.68,0.54,0.4,0.4,0.4,0.4,1.41,4
54.83,77.27,74.29,72.71,0.8,0.64,0.4,0.4,0.4,0.51,1.39,4
55.15,76.95,70.79,71.02,0.61,0.49,0.4,0.4,0.4,0.19,1.44,4
55.26,71.97,73.12,73.55,0.75,0.6,0.4,0.4,0.4,0.46,1.38,4
55.15,77.95,74.71,73.55,0.67,0.54,0.4,0.4,0.4,0.39,1.38,4
54.93,79.57,74.6,73.34,0.77,0.62,0.4,0.4,0.4,0.43,1.42,4
55.15,78.55,74.29,72.71,0.7,0.56,0.4,0.4,0.4,0.43,1.36,4
54.29,59.02,62.62,70.29,0.63,0.51,1,1,1,0.28,1.47,4
54.93,86.16,75.77,72.71,0.79,0.63,0.4,0.4,0.4,0.64,1.4,4
54.93,83.17,75.03,72.29,0.76,0.61,0.4,0.4,0.4,0.54,1.39,4
55.36,76.41,74.29,73.23,0.76,0.61,0.4,0.4,0.4,0.49,1.36,4
55.15,80.6,74.29,72.6,0.72,0.58,0.4,0.4,0.4,0.46,1.36,4
54.61,79.23,74.71,73.23,0.77,0.62,0.4,0.4,0.4,0.45,1.38,4
55.26,85.26,75.45,72.39,0.79,0.63,0.4,0.4,0.4,0.64,1.44,4
55.15,82.42,74.6,72.18,0.75,0.6,0.4,0.4,0.4,0.52,1.37,4
55.15,77.66,74.82,74.18,0.65,0.52,0.4,0.4,0.4,0.35,1.38,4
54.5,66.07,72.06,74.28,0.69,0.55,0.4,0.4,0.4,0.28,1.41,4
54.83,58.83,61.34,69.55,0.62,0.5,1,1,1,0.26,1.43,4
65.59,75.55,73.97,73.23,0.68,0.55,0.4,0.4,0.4,0.46,1.29,4
54.93,84.77,75.45,72.5,0.77,0.62,0.4,0.4,0.4,0.61,1.38,4
54.5,84.52,75.14,72.29,0.78,0.62,0.4,0.4,0.4,0.58,1.41,4
67.53,75.42,73.86,73.86,0.6,0.46,0.27,0.27,0.27,0,0.66,4
55.36,79.5,74.5,73.23,0.77,0.61,0.4,0.4,0.4,0.46,1.36,4
55.36,84.66,75.77,72.92,0.74,0.59,0.4,0.4,0.4,0.53,1.36,4
55.26,85.12,75.45,72.6,0.77,0.61,0.4,0.4,0.4,0.55,1.36,4
55.15,85.35,75.24,72.39,0.78,0.62,0.4,0.4,0.4,0.59,1.39,4
55.15,82.42,74.5,72.29,0.75,0.6,0.4,0.4,0.4,0.52,1.35,4
54.83,79.57,74.6,73.23,0.77,0.62,0.4,0.4,0.4,0.43,1.43,4
55.36,72.63,73.12,73.34,0.76,0.6,0.4,0.4,0.4,0.49,1.37,4
55.47,73.12,73.44,73.23,0.77,0.61,0.4,0.4,0.4,0.56,1.38,4
55.15,86.02,75.77,72.71,0.79,0.63,0.4,0.4,0.4,0.66,1.38,4
55.04,62.9,63.78,72.92,0.66,0.53,1,1,1,0.18,1.39,4
55.79,78.27,74.5,73.23,0.76,0.61,0.4,0.4,0.4,0.44,1.37,4
54.61,59.16,62.83,70.81,0.65,0.52,1,1,1,0.32,1.46,4
55.15,86.03,75.77,72.6,0.8,0.64,0.4,0.4,0.4,0.66,1.36,4
54.83,77.29,74.39,72.81,0.8,0.64,0.4,0.4,0.4,0.53,1.38,4
55.04,78.18,74.29,72.92,0.68,0.54,0.4,0.4,0.4,0.4,1.36,4
54.83,83.17,75.03,72.39,0.76,0.61,0.4,0.4,0.4,0.54,1.4,4
55.04,77.86,74.6,73.13,0.78,0.62,0.4,0.4,0.4,0.43,1.36,4
55.26,76.9,70.68,69.87,0.61,0.49,0.4,0.4,0.4,0.18,1.39,4
55.04,78.11,74.71,73.34,0.78,0.62,0.4,0.4,0.4,0.43,1.4,4
55.04,78.34,73.97,72.71,0.7,0.56,0.4,0.4,0.4,0.42,1.39,4
54.61,66.77,72.16,74.28,0.69,0.55,0.4,0.4,0.4,0.27,1.38,4
55.36,71.79,72.59,73.23,0.75,0.6,0.4,0.4,0.4,0.43,1.37,4
